autores,titulo,ano,tipo,orientador,quantidade,local,numero,localizacao,idioma
"GOUVEIA, José Mariano Caccia","""Análise ambiental urbana: Sub-bacias do córrego Marmedeiro e Alto do Ribeirão Moinho Velho - Cotia/Embú - SP""",2000,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"GOUVEIA, José Mariano Caccia",A metrica da sustentabilidade na perspectiva da geografia:aplicaçao do Painel da Sustentabilidade na comunidade Quilombola do Mandira-Cananéia/SP,2010,D,Prof. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"GRATÃO, Lúcia Helena Batista",Geomorfologia e áreas urbanas. O processo de urbanização e o processo de produção do relevo da Zona leste de Goiânia,1992,M,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"GROSSI, Suely Regina del",As bases geomorfológicas da paisagem do planalto de Monte Alto / SP,1982,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"GROSSI, Suely Regina Del",De Uberabinha a Uberlândia: Os Caminhos da Natureza. Contribuição ao Estudo da Geomorfologia Urbana,1991,D,Prof. Dr. Adilson A.  Abreu,2,São Paulo,,,PT-BR
"GUEDES, Hermínia Silva","Paisagens de Serranias, Araucárias e Águas Minerais. Um Estudo da Bacia Hidrográfica do Passa Quatro - MG",1999,M,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"GUTJAHR, Mirian Ramos",Critérios Relacionados a Compartimentação Climática de Bacias Hidrográficas: A Bacia do Rio Ribeira de Iguape,1993,M,Prof. Dr. José Roberto Tarifa,1,São Paulo,,,PT-BR
"HENRIQUE, Wendel",Zoneamento Ambiental: uma abordagem geomorfológica,2000,M,Prof. Dr. Maria Isabel C. de Freitas Viadana,1,Rio Claro,,,PT-BR
"HERRMANN, Maria Lúcia de Paula",Problemas Ambientais na faixa central do Litoral Catarinense,1998,D,Prof. Dr. Augusto Humberto Vairo Titarelli,1,São Paulo,,,PT-BR
"HERZ, Renato",Circulação das águas de superfície da Lagoa dos Patos,1977,D,Prof. Dr. José Queiroz Neto,1,São Paulo,,,PT-BR
"ISHIZUKA, Eliana J.",Processos erosivos na Bacia do Córrego Matadouro Velho no Município de Franca,2008,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"JORDÃO, Silvia",A mineração nos municípios de Guarulhos e Mairiporã - SP: aspectos geomorfológicos aplicados à sua organização e desenvolvimento,1991,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"JORDÃO, Sílvia",A contribuição da Geomorfologia para o conhecimento da fitogeografia nativa do estado de São Paulo e da representatividade das Unidades de Conservação de Proteção Integral,2011,D,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"JUNIOR , Francisco de Assis Gonçalves ",Paisagem e Sustentabilidade Urbana: O Papel dos Loteamentos Fechados e Condominios Horizontais em Vinhedo - SP,2014,D,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"JÚNIOR, Macário Protázio Costa Júnior",Interações morfo-pedogenéticas nos sedimentos do grupo Barreiras e nos leques aluviais pleistocênicos no litoral norte do Estado da Bahia - Municipio de Conde,2008,D,Prof. Dr. Geraldo da Silva Vilas Boas,1,Salvador,,,PT-BR
"JUNIOR, Sergio Serafini",O microclima de uma vereda degradada: estudo de caso no parque Estadual Veredas do Peruaçu,2009,RQ,Prof. Dr. Emerson Galvani,1,São Paulo,,,PT-BR
"JURG, Daniel Roberto",Inadequações do zoneamento ecológico-econômico no município de São Sebastião - SP,2014,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"KARFUNKEL, J., KARFUNKEL, B. ",Frazielle Entwicklung der mittleren Espinhaço-Zone mit besonderer Berücksichtigung des Tillit-Problems (Minas Gerais/Brasilien),1975,Dissertação,,1,Albert-Ludwigs-Universität Freiburg i. Br.,,,PT-BR
"KAWAKUBO, Fernando Shinji",Representações gráficas do relevo e álgebra de mapas: aplicações no estudo da fragilidade ambiental,2005,M,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"KAWAKUBO, Fernando Shinji","Metodologia de classificaçao de imagens multiespectrais aplicada ao Mapeamento do Uso da Terra e Cobertura Vegetal na Amazônia: Exemplo de Caso na Região de São Félix do Xingu, Sul do Pará",2010,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"KAWATA, Leonardo Takei",Análise de Imagens Baseada em Objetos Geográficos (Geobia) Aplicada ao Mapeamento da Transição entre Cinturão Orogênico do Atlântico e Bacia Sedimentar do Paraná,2014,M,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"KÖHLER, Véra Beatriz",De Pontal do Sul à Praia de Leste / SP. Estudo de Geomorfologia Costeira,1996,D,Prof. Dr. Adilson A. Abreu,1,São Paulo,,,PT-BR
"KUX, H. ","Geologische, geomorphologische und sedimentologische Untersuchungen bei Diamantina, Serra do Espinhaço, Minas Gerais, Brasilien",1976,T,"Prof. Dr. W. Wimmenauer,Prof. Dr. R. Pflug, Prof. Dr. H. Genser",1,"Univ. Freiburg, Freiburg",,,PT-BR
"LAHORGUE, Mário Leal",Espaço e planejamento urbano. Introdução ao estudo de Porto Alegre (RS),1997,M,Prof. Dr. Francisco Capuano Scarlato,1,São Paulo,,,PT-BR
"LAUTERT, Luiz Fernando de Carli","Análise morfodinamica e das águas nas bacias costeiras dos rios Nhundiaquara e Marumbi, no litoral do Paraná",2010,D,Prof. Dr. Jurandyr  Luciano Sanches Ross,1,São Paulo,,,PT-BR
"LEAL, Pedro Carignato Basilio",Mapeamento de perigo de escorregamento na bacia hidrográfica do Rio Grande de Ubatuba (SP): Comparação dos métodos analítico e sintético,2014,M,Prof. Dr. Alfredo Pereira de Queiroz Filho,1,São Paulo,,,PT-BR
"LEME, Sueli Mançanares","Relevo, Processos Geoecológicos e Sócio/Reprodutores e a Fragilidade Ambiental da Bacia do Ribeirão Piracicamirim/SP",2007,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"LEMOS, Amalia Inés Geraiges de",Memorial,1997,Memorial apresentado ao concurso para Professor/a Titular junto ao DG FFLCH USP,,1,São Paulo,,,PT-BR
"LEMOS, Amalia Inés Geraiges de",Cotia e sua participação no conjunto da faixa periférica da metrópole paulistana,1972,M,,1,São Paulo,,,PT-BR
"LISTO, Fabrizio de Luiz Rosito",Propriedades Geotécnicas dos Solos e Modelagem Matemática de Previsão a Escorregamentos Translacionais Rasos ,2015,D,Profª. Drª. Bianca Carvalho Vieira,1,São Paulo,,,PT-BR
"LUCAS, Maria de Lourdes G.","Da Serra dos Tapes á Laguna dos Patos, uma contribuição ao conhecimento geomorfológico em borda de maciço antigo",1983,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"MAACK, Reinhard",Geologia e Geografia Física da Bacia Hidrográfica do Rio de Contas no Estado da Bahia,1962,Tese para Concurso de Cátedra,,1,Paraná,,,PT-BR
"MACHADO, Ana Lydia","Análise da cobertura vegetal de um manguezal impactado por óleo, canal de Bertioga, Estado de São Paulo",1992,M,Prof. Dr. Jurandyr L. Sanches Ross,1,São Paulo,,,PT-BR
"MACHADO, Lucy Marion Calderini Philadelpho",A estrutura hortoniana de bacias hidrográficas do planalto paulistano e das escarpas da Serra do Mar,1979,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"MACHADO, Lucy Marion Calderini Philadelpho",A Serra do Mar Paulista: um estudo de paisagem valorizada,1988,Doutorado,Profª. Drª Lívia de Oliveira,1,,,,PT-BR
"MADRUGA, Lígia Camargo",Processo de Ocupação do Município de Jauru - MT,1992,Mon,,1,Cuiabá,,,PT-BR
"MAGALHÃES, L. Z. de",Problemas Ambientais de uma cidade média de Mato Grosso,2008,M,Prof. Dr. Hugo José Scheuer Werle,1,São Paulo,,,PT-BR
"MAMEDE, Lindinalva",Análise e Interpretação Geomorfológica da Bacia do Córrego Taquara - DF,1999,D,Prof. Dr. Augusto H. V. Titarelli,1,São Paulo,,,PT-BR
"MANZIONE, Rodrigo Lilla",Análise de séries temporais aplicada ao monitoramento do nível freático em área de preservação,2016,LD,,1,Ourinhos,,,PT-BR
"MARCON, Adistão",A região polarizada por Sorocaba,1973,Doutorado,,1,,,,PT-BR
"MARTINS, Cristina Célia","Variações Morfológicas e Sedimentares de Curto Período em Perfis Praiais, Praia da Bertioga - SP",2000,M,Prof. Dr. Michel Michaelovich de Mahiques,1,SãoPaulo,,,PT-BR
"MARTINS, Elisângela Rosemeri Curti",Análise de Perdas de Sedimentos Conforme as Diferentes Estações do ano na sub-bacia do Arroio Itambé em São Martinho da Serra/RS,2007,M,Prof. Dr. Mário de Biasi,1,São Paulo,,,PT-BR
"MARTINS, Larissa Fernanda Vieira","Monitoramento de Parques Urbanos de Vale: Análise das Funções de Conservação e Uso Público - Estudos de Casos Múltiplos em Curitiba, Paraná",2014,D,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"MASSA, Eric Macedo",Estudo Comparativo entre dois Modelos Geomorfológicos Aplicados na Serra da Cantareira: Bacia do Córrego do Bispo,2008,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"MATEUS, Rosiane da Silva",Modelo hidrologico da Bacia Hidrografica da represa Guarapiranga-São Paulo(SP),2006,M,Prof. Dr. Tarik Rezende de Azevedo,1,São Paulo,,,PT-BR
"MATOS, Luzia de Jesus",A vulnerabilidade das construções às corridas de detritos na bacia experimental do rio Guaxinduba - município de Caraguatatuba - SP,2014,M,Profª. Drª. Bianca Carvalho Vieira,1,São Paulo,,,PT-BR
"MATTOS, Dirceu Lino de ",Região da Baixa Mogiana - Contribuição ao estudo da geografia agrária do ponto de vista do uso da terra,1959,Tese de doutorado para concurso professor FEA-USP,,1,São Paulo,,,PT-BR
"MATTOS, Isabel Fernades de Aguiar",A Fisionomia Vegetal e suas relação com o meio Físico na Definição das Unidades de Paisagem na Alta Bacia do Rio Turvo - SP,1994,M,Prof. Dr. Jurandyr  L. S. Ross,1,São Paulo,,,PT-BR
"MATTOS, Juércio Tavares de",Caracterização do comportamento geológico-estrutural na região da represa de Furnas (MG) com dados de sensoriamento remoto,1986,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"MAURO, Claudio Antônio de","Voçorocas: marcas das relações sociedade-natureza na Bacia do Monjolinho, São Carlos - SP",1989,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"MAZZEI, Katia",Corredores de Fauna na Região Cantareira-Mantiqueira: Evidências Geográficas,2007,D,Profa. Dra. Sueli Ângelo Furlan,1,São Paulo,,,PT-BR
"MAZZEI, Kátia",Manejo de unidades de conservação em áreas urbanas. Parque estadul da Cantareira: Discussão para incorporação de novas áreas,1999,M,Prof. Dr. José Roberto Tarifa,1,São Paulo,,,PT-BR
"MEDEIROS, José Simeão de",Banco de dados geográficos e redes neurais artificiais: Tecnologias de apoio à gestão do território,1999,D,Profa. Dra. Magda Adelaide Lombardo; Dr. Antônio Miguel Vieira Monteiro,1,São Paulo,,,PT-BR
"MELLO, Juliano Pereira de",Ensaio Cartográfico para determinação da fragilidade ambiental da Bacia Hidrográfica do Rio Verde (SP),2008,M,Prof. Dr. Antônio Carlos Vitte,1,Campinas - SP,,,PT-BR
"MENDES, Iandara Alves",A dinâmica erosiva do escoamento pluvial na bacia do córrego Lafon - Araçatuba (SP),1993,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"MENDES, Iandara Alves Mendes",Estudo geomorfológico na área dos divisores entre as bacias dos rios Paraguaçu e Jequiriçá,1978,Mestrado,,1,,,,PT-BR
"MERCANTE, Mercedes Abid",O processo de reflorestamento em áreas de cerrado e seus efeitos ambientais - O caso de Mato Grosso do Sul,1994,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"MESQUITA, Marisa Vianna","Caracterização do meio físico do bairro Água Azul, Guarulhos - SP, para fins de planejamento e ocupação urbana",1998,M,Prof. Dr. Antônio Roberto Saad,1,Guarulhos,,,PT-BR
"MIDAGLIA, Carmen Lucia Vergueiro",Proposta de implantacão do indice de abrangência espacial de monitoramento-IAEM por meio da analise da evolucão da rede de qualidade das aguas superficiais do Estado de São Paulo,2009,D,Prof. Dr. Reinaldo Paul Perez Machado,1,São Paulo,,,PT-BR
"MORAES, Paulo Borba Leite de",Avaliação e controle no âmbito no processo de planejamento físico-territorial de áreas de proteção ambiental,1992,M,Prof. Dr. Adalberto A . Fischmann,1,São Paulo,,,PT-BR
"MORAES, Paulo Roberto",A Península do Riacho Grande: Uma abordagem geográfica na análise ambiental,1994,M,Prof. Dr. Jurandyr L. Sanches Ross,1,São Paulo,,,PT-BR
"MORAES, Páulo Roberto",As Áreas Tropicais Úmidas e as Febres Hemorr[agicas Virais - Uma Abordagem Geográfica na Área Ambiental e na de Saúde,2007,D,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"MOREIRA, Maria Lucidalva Costa",Estudos Multidisciplinares para o diagnóstico ambiental do município de Jaurú - MT,1997,M,Prof. Dr. Nilton Tocicazu Higa,1,Cuiabá,,,PT-BR
"MOROZ, Isabel Cristina",Jardim Colibri - Análise geográfica como subsídio para o planejamento ambiental territorial,2002,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"MOSCA, Andréia Arruda de Oliveira",Caracterização hidrológica de duas microbacias visando a identificação de indicadores hidrológicos para o monitoramento ambiental do manejo e florestas plantadas,2003,M,Prof. Dr. Walter de Paula Lima,1,Piracicaba,,,PT-BR
"MOSCA, Andréia Arruda de Oliveira",Avaliação dos Impactos Ambientais de Plantações de Eucalipto no Cerrado com Base na Análise Comparativa do Ciclo Hidrológico e da Sustentabilidade da Paisagem em duas Bacias de Segunda Ordem,2008,D,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"MOTA, Sônia Maria de Brito",Análise geoambiental do município de Barretos,1998,D,Prof. Dr. Job Jesus Batista,1,Rio Claro,,,PT-BR
"MUCCIOLI, Carlos",Recuperção de áreas degradadas por mineração de areia,1997,M,Prof. Dr. Felisberto Cavalheiro,1,São Paulo,,,PT-BR
"MUNDIM, Marlene Miranda",Aspectos geomorfológicos da Baixada do Alto Paraguai á Baixada Cuiabana - o Alto Vale do Pari - MT,1982,Mestrado,Prof ª. Drª. Olga Cruz,1,,,,PT-BR
"NAKASHIMA, Myriam da Silveira Reis",Estudo topo-morfológico e de formações superficiais na área de Barueri e arredores - SP,1978,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"NAKASHIMA, Myriam da Silveira Reis",Análise dos Processos Erosivos e da Fragilidade Ambiental na Bacia do Rio Keller - PR Volume I e II,1999,D,Prof. Dr. Jurandyr  L. S. Ross,2,São Paulo,,,PT-BR
"NAKASHIMA, Paulo",Estudo das formações superficiais da área de Campinas-Viracopos (SP); suas relações com a evolução geomorfológica e os solos,1973,Mestrado,Prof. Dr. José Pereira de Queiroz Neto,1,,,,PT-BR
"NASCIMENTO, Roselir de Oliveira","Atributos Morfológicos, Químicos, Mineralógicos e Micromorfológicos de um Perfil Laterítico de Domo Estrutural - Distrito Federal",2011,D,Prof. Dr. Silvio Carlos Rodrigues,1,Uberlândia,,,PT-BR
"NERY, Tulius Dias",Dinâmica das Corridas de Detritos no Litoral Norte de São Paulo,2015,D,Profª. Drª. Bianca Carvalho Vieira,1,São Paulo,,,PT-BR
"NETO, Roberto Marques","Estudo evolutivo do sistema morfoclimático e morfotectônico da bacia do Rio Verde (MG), Sudeste do Brasil",2012,D,Prof. Dr. Archimedes Perez Filho,1,Rio Claro,,,PT-BR
"NEVES, Sandra Mara Alves da Silva",Modelagem de um banco de dados geográficos do pantanal de Cáceres/MT: Estudo de caso aplicado ao turismo,2006,D,Profª. Dra. Carla Bernadete Madureira Cruz,1,Rio de Janeiro,,,PT-BR
"NUNES, João Osvaldo Rodrigues",Práxis geográfica e suas conjunções,2014,LD,,1,Presidente Prudente,,,PT-BR
"NUNES, Lucí Hidalgo",Impacto pluvial na serra do Paranapiacaba e Baixada Santista,1990,M,Prof. Dr. Augusto Humberto Vairo Titarelli,2,São Paulo,,,PT-BR
"OLIVATO, Débora","Análise da participação social no contexto da gestão de riscos ambientais na bacia hidrográfica do rio Indaiá, Ubatuba - SP",2013,D,Prof°. Dra. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"OLIVEIRA, Fabiano Antonio de",Estudo do aporte sedimentar em suspensão na baía da Babitonga sob a ótica da geomorfologia,2006,D,Prof. Dr. Jurandyr L. S. Ross,2,São Paulo,,,PT-BR
"OLIVEIRA, Ivanilton J. de",Cartografia turística para a fruição do patrimônio natural da Chapada dos Veadeiros,2007,D,Prof. Dr. Marcello Martinelli,1,São Paulo,,,PT-BR
"OLIVEIRA, Livia de",Estudo metodológico e cognitivo do mapa,1977,Livre docência,Profª. Drª. Olga Cruz,1,,,,PT-BR
"OLIVEIRA, Maria Aparecida de",Análise da qualidade ambiental urbana na bacia hidrgráfica do Rio Itaquera no município de São Paulo - Um ensaio metodológico,2006,M,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"OLIVEIRA, Patricia do Prado","Estudo da paisagem para subsídio ao planejamento ambiental e conservação de fragmentos florestais nos Distritos do Parque do Carmo, José Bonifácio e Cidade Tiradentes, Município de São Paulo (SP)",2012,M,Prof. Dr. Yuri Tavares Rocha,1,São Paulo,,,PT-BR
"OLIVEIRA, Raquel Maria de",Fatores ambientais e espécies endêmicas: o uso de sistema de informação geográfica para a conservação da biodversidade no sul da Bahia,1997,M,Prof. Dr. Harold Gordon Fowler,1,Rio Claro,,,PT-BR
"OLIVEIRA, Rodolfo Lopes de Souza","Análise e Caracterização da Dinâmica Geomórfica Erosiva da Área Urbana de Alfenas, Sul de Minas Gerais",2014,M,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"OSSE, Vera Cristina",Bambu: Cultura e Paisagem,2005,D,Profª. Dra. Maria Assunção Ribeiro Franco,1,São Paulo,,,PT-BR
"PACHECO, Neida Maria dos Santos",Evolução e dinâmica geomorfológica das vertentes na Área da Escarpa entre Taquara e São Francisco de Paula - RS. Estudo experimental dos movimentos coletivos de solo e rocha intenperizada por rastejo,1991,Doutorado,Prof. Dr. Adilson Avansi de Abreu,1,,,,PT-BR
"PACHECO, Neida Maria dos Santos",Evolução e dinâmica geomorfológica das vertentes na área da escarpa entre Taquara e São Franciso de Paula - RS. Estudo Esperimental dos Movimentos coletivos de solo e rocha intemperizada por rastejo,1991,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"PACHECO, Rodrigo da Cunha",Processamento de dados de imagem mutiespectral aplicado à geobotânica por sensoriamento remoto: uma aboradegm para áreas cobertas por Floresta Atlântica da plan[icie costeira,2009,M,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"PAGANINI, Wanderley da Silva",A história de um rio de contrastes: o Tietê e seus múltiplos usos,2006,LD,,1,São Paulo,,,PT-BR
"PASTORINO, Luiz Américo",Política Nacional de Navegação Interior - Criação de Fundo Fluvial e Taxa Hidroviária,1960,Tese,,1,São Paulo,,,PT-BR
"PAVÃO, Mônica","Estudo da Dinâmica de Urbanização na Bacia do Córrego Bananal Município de São Paulo, através da utilização de técnicas de Sensoriamento Remoto e Geoprocessamento",2005,M,Prof. Dr. Aílton Luchiari,1,São Paulo,,,PT-BR
"PENTEADO, Adriana de Fátima","Mapeamento e Análise Geomorfológicos como Subsídio para identificação e caracterização de terras inundáveis, estudo de caso da bacia hidrográfica do Rio dos Sinos - RS",2011,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"PEREIRA, Paulo Ricardo Brum",A cartografia ambiental para o município de São Sebastião - SP: Análise e reflexão,2000,M,Prof. Dr. Marcello Martinelli,1,São Paulo,,,PT-BR
"PEREIRA, Ricardo Galeno Fraga de Araújo","Caracterização Geomorfológica e geoespeleológica do carste da Bacia do Rio Una, borda leste da Chapada Diamantina (Município de Itaetê, Estado da Bahia)",1998,M,Prof. Dr. Ivo karmann,1,São Paulo,,,PT-BR
"PIANARO, Antonio",Estudo hidrodinâmico da Bacia do Rio Tagaçaba - município de Guaraqueçaba - PR,1982,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"PINTO, Willer Almeida",Uso das Imagens SAR R99B para Mapeamento Geomorfológico do furo do Ariaú no município de Iranduba - AM,2013,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"PIRAN, Neide Lourdes",Contribuição ao estudo do clima de Erexim - RS,1982,Mestrado,Prof. Dr. Walter Cecílio Brino,1,,,,PT-BR
"PIRES-NETO, Antônio Golçalves","As abordagens sintético-histórica e analítico-dinâmica, um proposição metodológica ppara a geomorfologia",1991,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"PROVIDELO, Lucas Antônio","Regionalização de Microbacias Hidrográficas e Técnicas de Geoprocessamento e Análise Espacial, Como Possibilidade de Gestão do Território de Tambaú SP",2007,M,Profª. Dra. Magda Adelaide Lombardo,1,Rio Claro - SP,,,PT-BR
"QUEIRÓZ-NETO, José Pereira de",Pedogênese no Planalto Atlântico. Contribuição à interpretação paleogeográfica dos soloas da Mantiqueira Norte Ocidental,1975,LD,,1,São Paulo,,,PT-BR
"QUEVEDO NETO, Pedro de Souza",Paisagens Preferidas e Transformação da Paisagem na área de Transição Urbano - Rural da Grande São Paulo: Capela do Alto,1999,D,Profa. Dra. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"REHBEIN, Moises Ortemar","Mapeamento geomorfológico de detalhe aplicado na análise de impactos ambientais urbanos: contribuições ao (re)conhecimento de morfologias, morfogêneses e morfodinâmicas do relevo da bacia hidrográfica do arroio Feijó - RS",2011,D,Prof. Dr. Jurandyr Luciano Sanches Ross,2,São Paulo,,,PT-BR
"REHBEIN, Moises Ortemar",Relatorio para exame de qualificação,2009,D,Prof. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"RIBEIRO, Antônio Giacomial",Paisagem e organização espacial na região de Palmas e Guarapuava,1989,D,Prof. Dr. Augusto N. V. Titorelli,1,São Paulo,,,PT-BR
"RIBEIRO, Sidnei Lopes",Aplicação de Sistema de Informação Geográfica Nacional ao Estudo de Erosão dos Solos por meio de Modelo Eups: Microbacia Hidrográfica do Ribeirão Araquá-SP,2000,M,Prof. Dr. Ailton Luchiari,1,Rio Claro,,,PT-BR
"RIBEIRO, Tauan Fellipe Bandeira","Reflexos do uso da terra na avaliação da poluição hídrica da bacia hidrográfica do Ribeirão das Lavras, Guarulhos - SP",2016,M,Prof. Dr. Reinaldo Romero Vargas,1,Guarulhos,,,PT-BR
"ROCHA, Erica Aparecida Vaz",Avaliação do processo evolutivo e da dinâmica erosiva: um estudo de caso no município de Ipameri-GO,2007,M,Prof. Dr. Silvio Carlos Rodrigues,1,Uberlândia,,,PT-BR
"ROCHA, Kenia N. Diógenes","Relações entre a Vulnerabilidade social e a fragilidade ambiental, no litoral paulista: o caso dos municípios de Ilhabela, São Sebastião, Caraguatatuba e Ubatuba",2011,M,Prof. Dr. Antônio Carlos Vitte,1,Campinas,,,PT-BR
"RODELA, Luciana Graci","Unidades de vegetação e Pastagens Nativas do Pantanal da Nhecolândia, Mato Grosso do Sul",2006,D,Prof. Dr. José Pereira de Queiróz Neto,1,São Paulo,,,PT-BR
"RODRIGUES, Cleide",Geomorfologia Aplicada. Avaliação de experiências e de instrumentos de planejamento físico-territorial e ambiental brasileiros,1997,D,Profa. Dra. Lylian Coltrinari,1,São Paulo,,,PT-BR
"RODRIGUES, Sandra Regina","O uso da terra e a qualidade das águas superificiais da bacia do Rio Sapucaí - Guaçu, no município de Campos do Jordão - SP",1997,M,Prof. Dr. Felisberto Cavalheiro,1,São Paulo,,,PT-BR
"RODRIGUES, Sílvio Carlos",Análise Empírico - Experimental da Fragilidade Relevo - Solo no Cristalino Paulistano: Sub-Bacia do Reservatório Billings,1998,D,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"ROSA, Eduardo Reis",Técnicas de geoprocessamento aplicadas na análise do uso da terra na município de Pilar do Sul - SP,2006,M,Prof. Dr. Mário de Biasi,1,São Paulo,,,PT-BR
"ROSS,  Jurandyr Luciano Sanches",Geomorfologia e Geografia Aplicadas à Gestão Territorial,2001,LD,,1,São Paulo,,,PT-BR
"ROSS, Jurandyr Luciano Sanches",Estudo e cartografia geomorfológica da Província Serrana - MT,1987,D,Prof. Dr. Adilson Avansi de Abreu,3,São Paulo,,,PT-BR
"ROSS, Jurandyr Luciano Sanches.",A qualidade da água subterrânea no espaço urbano da grande São Paulo,1981,M,Prof. Dr. Adilson Avansi de Abreu,2,São Paulo,,,PT-BR
"ROSSETTI, Renato Pizzi","Evolução da carga orgânica de origem doméstica no rio Paraíba do Sul, no trecho paulista, no período de 1998 - 2007",2009,M,Profª. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"ROSSI, Marcio","Fatores formadores da paisagem litorânea: A bacia do Guaratuba, São Paulo - Brasil",1999,D,Prof. Dr. José Pereira de Queiroz Neto,1,São Paulo,,,PT-BR
"RUBIO, Maurício Fava","Gênese e dinâmica de erosões em margens de reservatórios. Pesquisa & Desenvolvimento no estudo de caso nas UHEs Chavantes e Rosana (rio Parabapanema, SP/PR)",2014,D,Prof. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"RUBIO, Maurício Fava",Leituras geográficas do processo de apropriação do rio Paranapanema para geração de energia hidrelétrica,2008,M,Profª. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"SAADI, Allaoua",Determination de la sensibilitedu milieu en vue de lamenagement para analyse des donnees,1981,D,,1,Janvier,,,PT-BR
"SADOWSKI, Georg Robert","Tectônica da Serra de Cubatão, SP",1974,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"SALES, Marta Celina Linhares","Estudo da degradação ambiental em Gilbués-PI. Reavaliando o ""núcleo de desertificação""",1997,M,Prof. Dr. José Bueno Conti,1,São Paulo,,,PT-BR
"SALES, Vanda Carneiro de Claudino",Lagoa do Papicu: natureza e ambiente na cidade de Fortaleza,1993,M,Prof. Dr. José Roberto Tarifa,1,São Paulo,,,PT-BR
"SALOMÃO, Fernando Ximenes de Tavares",Processos Erosivos Lineares em Bauru (SP): Regionalização Cartográfica Aplicada ao Controle Preventivo Urbano e Rural,1994,D,Prof. Dr. José Pereira de Queiroz Neto,1,São Paulo,,,PT-BR
"SANCHEZ, Miguel Cézar",Os municípios de São Pedro e Charqueada: Aspectos de sua Geografia Agrária,1969,D,,1,Rio Claro,,,PT-BR
"SANO, Nara Nanae",Estudo Comparado da getão das visitações nos parques estaduais turísticos do Alto Ribeira (PETAR) e Intervales (PEI),2007,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"SANTANA, Andréa Maria Sobreira de",O desenho urbano e a climatologia em Fortaleza,1997,M,Prof. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"SANTANA, Claudinei Lopes",Geomorfologia da planície fluvial do rio Ribeira de Iguape entre Sete Barras e Eldorado,2008,M,Prof. Dra Cleide Rodrigues,1,São Paulo,,,PT-BR
"SANTOS, André Henrique Bezerra dos","Condicionantes Estruturais da Drenagem e do Relevo na Cratera de Colônia e entorno, São Paulo - SP",2013,M,Profª. Drª. Déborah de Oliveira,1,São Paulo,,,PT-BR
